DicTerm,DAV,IAV,SV
reevaluate,,X,
reevaluated,,X,
reevaluates,,X,
reevaluating,,X,
refer,,X,
referred,,X,
referring,,X,
refers,,X,
reflect,,X,
reflected,,X,
reflecting,,X,
reflects,,X,
refund,,X,
refunded,,X,
refunding,,X,
refunds,,X,
refuse,X,,
refused,,X,
refuses,,X,
refusing,,X,
regain,,X,
regained,,X,
regaining,,X,
regains,,X,
regard,,,X
regarded,,,X
regarding,,,X
regards,,,X
register,,X,
registered,,X,
registering,,X,
registers,,X,
regret,,,X
regrets,,,X
regretted,,,X
regretting,,,X
reign,,X,
reigning,,X,
reigns,,X,
reined,,X,
reinforce,,X,
reinforced,,X,
reinforces,,X,
reinforcing,,X,
reject,,,X
rejected,,,X
rejecting,,,X
rejects,,,X
rejoice,,,X
rejoiced,,,X
rejoices,,,X
rejoicing,,,X
relate,,X,
related,,X,
relates,,X,
relating,,X,
relax,,,X
relaxed,,,X
relaxes,,,X
relaxing,,,X
release,,X,
released,,X,
releases,,X,
releasing,,X,
relied,,,X
relies,,,X
relieve,,,X
relieved,,,X
relieves,,,X
relieving,,,X
relinquish,X,,
relinquished,X,,
relinquishing,X,,
relish,,,X
relished,,,X
relishes,,,X
relishing,,,X
relive,,X,
rely,,X,
relying,,X,
remain,X,,
remained,X,,
remaining,,X,
remains,,X,
remark,X,,
remarked,X,,
remarking,X,,
remarks,X,,
remember,X,,
remembered,X,,
remembering,,X,
remembers,,X,
remind,,X,
reminded,,X,
reminding,,X,
reminds,,X,
reminisce,,X,
reminisced,,X,
reminisces,,X,
reminiscing,,X,
remove,,X,
removed,X,,
removes,,X,
removing,,X,
render,,X,
rendered,,X,
rendering,,X,
renders,,X,
renew,,X,
renewed,,X,
renewing,,X,
renews,,X,
rent,X,,
rented,X,,
renting,X,,
rents,X,,
repaid,X,,
repair,,X,
repaired,,X,
repairing,,X,
repairs,,X,
repay,X,,
repaying,X,,
repays,X,,
repeat,,X,
repeated,X,,
repeating,,X,
repeats,,X,
replace,,X,
replaced,,X,
replaces,,X,
replacing,,X,
replenish,,X,
replenished,,X,
replenishes,,X,
replenishing,,X,
replied,,X,
replies,,X,
reply,,X,
replying,,X,
report,,X,
reported,,X,
reporting,,X,
reports,,X,
represent,,X,
represented,,X,
representing,,X,
represents,,X,
reproduce,,X,
reproduced,,X,
reproduces,,X,
reproducing,,X,
request,,X,
requested,,X,
requesting,,X,
requests,,X,
require,,X,
required,,X,
requires,,X,
requiring,,X,
rescue,,X,
rescued,,X,
rescues,,X,
rescuing,,X,
research,,X,
researched,,X,
researches,,X,
researching,,X,
resemble,,X,
resembled,,X,
resembles,,X,
resembling,,X,
resent,,,X
resented,,,X
resenting,,,X
resents,,,X
reserve,,X,
reserved,,X,
reserves,,X,
reserving,,X,
reside,,X,
resided,,X,
resides,,X,
residing,,X,
resign,X,,
resigned,X,,
resigning,X,,
resigns,X,,
resist,,X,
resisted,,X,
resisting,,X,
resists,,X,
resolve,,X,
resolved,,X,
resolves,,X,
resolving,,X,
respect,,,X
respecting,,,X
respects,,,X
responded,X,,
responding,X,,
responds,X,,
rest,X,,
rested,X,,
resting,X,,
restore,,X,
restored,,X,
restores,,X,
restoring,,X,
restrain,X,,
restrained,X,,
restraining,X,,
restrains,X,,
restrict,,X,
restricted,,X,
restricting,,X,
restricts,,X,
rests,X,,
result,,X,
resulted,,X,
resulting,,X,
results,,X,
resume,,X,
resumed,,X,
resumes,,X,
resuming,,X,
retain,,X,
retained,,X,
retaining,,X,
retains,,X,
retire,,X,
retired,,X,
retires,,X,
retiring,,X,
retreat,X,,
retreated,X,,
retreating,X,,
retreats,X,,
return,X,,
returned,X,,
returning,X,,
returns,X,,
reunite,X,,
reunited,X,,
reunites,X,,
reuniting,X,,
reveal,,X,
revealed,,X,
revealing,,X,
reveals,,X,
reverse,,X,
reversed,,X,
reverses,,X,
reversing,,X,
review,X,,
reviewed,X,,
reviewing,X,,
reviews,X,,
revise,,X,
revised,,X,
revises,,X,
revising,,X,
revolve,X,,
revolved,X,,
revolves,X,,
revolving,X,,
reward,,X,
rewarded,,X,
rewarding,,X,
rewards,,X,
rhyme,X,,
rhymed,X,,
rhymes,X,,
rhyming,X,,
rid,,X,
ridded,,X,
ridden,X,,
ridding,,X,
ride,X,,
rides,X,,
ridicule,,X,
ridiculed,,X,
ridicules,,X,
ridiculing,,X,
riding,X,,
rids,,X,
right,,X,
rights,,X,
ring,X,,
ringing,X,,
rings,X,,
rinse,X,,
rinsed,X,,
rinses,X,,
rinsing,X,,
rip,X,,
ripped,X,,
ripping,X,,
rips,X,,
rise,X,,
risen,X,,
rises,X,,
rising,X,,
risk,X,,
risked,X,,
risking,X,,
risks,X,,
roar,X,,
roared,X,,
roaring,X,,
roars,X,,
rob,X,,
robbed,X,,
robbing,X,,
robs,X,,
rock,X,,
rocked,X,,
rocking,X,,
rocks,X,,
rode,X,,
roll,X,,
rolled,X,,
rolling,X,,
rolls,X,,
roof,X,,
roofed,X,,
roofing,X,,
roofs,X,,
room,X,,
roomed,X,,
rooming,X,,
rooms,X,,
root,X,,
rooted,X,,
rooting,X,,
roots,X,,
rope,X,,
roped,X,,
ropes,X,,
roping,X,,
rose,X,,
rot,X,,
rots,X,,
rotted,X,,
rotting,X,,
rough,X,,
roughed,X,,
roughing,X,,
roughs,X,,
round,,X,
rounded,,X,
rounding,,X,
rounds,,X,
row,X,,
rowed,X,,
rowing,X,,
rows,X,,
rub,X,,
rubbed,X,,
rubbing,X,,
rubs,X,,
ruin,,X,
ruined,,X,
ruining,,X,
ruins,,X,
rule,,X,
ruled,,X,
rules,,X,
ruling,,X,
run,X,,
rung,X,,
running,X,,
runs,X,,
rupture,X,,
ruptured,X,,
ruptures,X,,
rupturing,X,,
rush,X,,
rushed,X,,
rushes,X,,
rushing,X,,
sack,,X,
sacked,,X,
sacking,,X,
sacks,,X,
sacrifice,,X,
sacrifices,,X,
sacrificing,,X,
sadden,,,X
saddened,,,X
saddening,,,X
saddens,,,X
said,X,,
sail,X,,
sailed,X,,
sailing,X,,
sails,X,,
sample,,X,
sampled,,X,
samples,,X,
sampling,,X,
sang,X,,
sank,X,,
sat,X,,
satisfied,,,X
satisfies,,,X
satisfy,,,X
satisfying,,,X
save,,X,
saved,,X,
saves,,X,
saving,,X,
savor,,,X
savored,,,X
savoring,,,X
savors,,,X
saw,X,,
sawed,X,,
sawing,X,,
sawn,X,,
saws,X,,
say,X,,
saying,X,,
says,X,,
scale,X,,
scaled,X,,
scales,X,,
scaling,X,,
scan,X,,
scanned,X,,
scanning,X,,
scans,X,,
scar,X,,
scare,,,X
scared,X,,
scares,,,X
scaring,,,X
scarred,X,,
scarring,X,,
scars,X,,
scatter,X,,
scattered,X,,
scattering,X,,
scatters,X,,
schedule,X,,
scheduled,X,,
schedules,X,,
scheduling,X,,
school,,X,
schooled,,X,
schooling,,X,
schools,,X,
scold,X,,
scolded,X,,
scolding,X,,
scolds,X,,
scorch,X,,
scorched,X,,
scorches,X,,
scorching,X,,
score,X,,
scored,X,,
scores,X,,
scoring,X,,
scout,,X,
scouted,,X,
scouting,,X,
scouts,,X,
scrape,X,,
scraped,X,,
scrapes,X,,
scraping,X,,
scratch,X,,
scratched,X,,
scratches,X,,
scratching,X,,
scrawl,X,,
scrawled,X,,
scrawling,X,,
scrawls,X,,
scream,X,,
screamed,X,,
screaming,X,,
screams,X,,
screech,X,,
screeched,X,,
screeches,X,,
screeching,X,,
screw,X,,
screwed,X,,
screwing,X,,
screws,X,,
scribble,X,,
scribbled,X,,
scribbles,X,,
scribbling,X,,
scrub,X,,
scrubbed,X,,
scrubbing,X,,
scrubs,X,,
sculpture,X,,
sculptured,X,,
sculptures,X,,
sculpturing,X,,
seal,X,,
sealed,X,,
sealing,X,,
seals,X,,
search,,X,
searched,,X,
searches,,X,
searching,,X,
seat,X,,
seated,X,,
seating,X,,
seats,X,,
second,,X,
seconds,,X,
secure,,X,
secured,,X,
secures,,X,
securing,,X,
seduce,,X,
seduced,,X,
seduces,,X,
seducing,,X,
see,X,,
seeing,X,,
seek,,X,
seeking,,X,
seeks,,X,
seem,,,X
seemed,,,X
seeming,,X,
seems,,X,
seen,X,,
sees,X,,
seize,,X,
seized,,X,
seizes,,X,
seizing,,X,
select,X,,
selected,X,,
selecting,X,,
selects,X,,
sell,X,,
selling,X,,
sells,X,,
send,X,,
sending,,X,
sends,,X,
sense,,X,
sensed,,X,
senses,,X,
sensing,,X,
sent,X,,
sentence,X,,
sentenced,X,,
sentences,X,,
sentencing,X,,
separate,,X,
separated,,X,
separates,,X,
separating,,X,
serve,,X,
served,,X,
serves,,X,
service,,X,
serviced,,X,
services,,X,
servicing,,X,
serving,,X,
sets,X,,
setting,X,,
settle,,X,
settled,,X,
settles,,X,
settling,,X,
sew,X,,
sewed,X,,
sewing,X,,
sewn,X,,
shade,X,,
shaded,X,,
shades,X,,
shading,X,,
shadow,,X,
shadowed,,X,
shadowing,,X,
shadows,,X,
shake,X,,
shaken,X,,
shakes,X,,
shaking,X,,
shame,,,X
shamed,,,X
shames,,,X
shaming,,,X
shape,X,,
shaped,,X,
shapes,,X,
shaping,,X,
share,,X,
shared,X,,
shares,,X,
sharing,,X,
sharpen,X,,
sharpened,X,,
sharpening,X,,
sharpens,X,,
shatter,X,,
shattered,X,,
shattering,X,,
shatters,X,,
shave,X,,
shaved,X,,
shaves,X,,
shaving,X,,
shear,X,,
sheared,X,,
shearing,X,,
shears,X,,
shedding,X,,
sheds,X,,
shell,X,,
shelled,X,,
shelling,X,,
shells,X,,
shelter,,X,
sheltered,,X,
sheltering,,X,
shelters,,X,
shift,X,,
shifted,X,,
shifting,X,,
shifts,X,,
shine,X,,
shined,X,,
shines,X,,
shining,X,,
ship,X,,
shipped,X,,
shipping,X,,
ships,X,,
shiver,X,,
shivered,X,,
shivering,X,,
shivers,X,,
shock,,,X
shocked,,,X
shocking,,,X
shocks,,,X
shod,X,,
shoe,X,,
shoeing,X,,
shoes,X,,
shone,X,,
shook,X,,
shoot,X,,
shooting,X,,
shoots,X,,
shop,X,,
shopped,X,,
shopping,X,,
shops,X,,
shorn,X,,
shorten,X,,
shortened,X,,
shortening,X,,
shortens,X,,
shot,X,,
should,,,X
shout,X,,
shouted,X,,
shouting,X,,
shouts,X,,
shove,X,,
shoved,X,,
shoves,X,,
shoving,X,,
show,X,,
showed,X,,
shower,X,,
showered,X,,
showering,X,,
showers,X,,
showing,X,,
shown,,X,
shows,X,,
shrank,X,,
shred,X,,
shredded,X,,
shredding,X,,
shreds,X,,
shrink,X,,
shrinking,X,,
shrinks,X,,
shrug,X,,
shrugged,X,,
shrugging,X,,
shrugs,X,,
shrunk,X,,
shrunken,X,,
shut,X,,
shuts,X,,
shutting,X,,
side,X,,
sided,X,,
sides,X,,
siding,X,,
sigh,,,X
sighed,,,X
sighing,,,X
sighs,,,X
sight,X,,
sighted,X,,
sighting,X,,
sights,X,,
sign,X,,
signal,,X,
signaled,,X,
signaling,,X,
signals,,X,
signed,X,,
signing,X,,
signs,X,,
simplified,,X,
simplifies,,X,
simplify,,X,
simplifying,,X,
sin,,X,
sing,X,,
singing,X,,
single,,X,
singled,,X,
singles,,X,
singling,,X,
sings,X,,
sink,X,,
sinking,X,,
sinks,X,,
sinned,,X,
sinning,,X,
sins,,X,
sip,X,,
sipped,X,,
sipping,X,,
sips,X,,
sit,X,,
sits,X,,
sitting,X,,
situated,,X,
size,X,,
sized,X,,
sizes,X,,
sizing,X,,
skepticize,,,X
skepticized,,,X
skepticizes,,,X
skepticizing,,,X
ski,X,,
skied,X,,
skies,X,,
skiing,X,,
skin,X,,
skinned,X,,
skinning,X,,
skins,X,,
skip,X,,
skipped,X,,
skipping,X,,
skips,X,,
skis,X,,
slack,,X,
slacked,,X,
slacking,,X,
slacks,,X,
slain,X,,
slam,X,,
slammed,X,,
slamming,X,,
slams,X,,
slap,X,,
slapped,X,,
slapping,X,,
slaps,X,,
slash,X,,
slashed,X,,
slashes,X,,
slashing,X,,
slay,X,,
slaying,X,,
slays,X,,
sleep,X,,
sleeping,X,,
sleeps,X,,
slept,X,,
slew,X,,
slid,X,,
slide,X,,
slides,X,,
sliding,X,,
slight,,,X
slighted,,,X
slighting,,,X
slights,,,X
sling,X,,
slinging,X,,
slings,X,,
slink,X,,
slinking,X,,
slinks,X,,
slip,X,,
slipped,X,,
slipping,X,,
slips,X,,
slit,X,,
slits,X,,
slitting,X,,
slow,,X,
slowed,,X,
slowing,,X,
slows,,X,
slump,X,,
slumped,X,,
slumping,X,,
slumps,X,,
slung,X,,
slunk,X,,
slurp,X,,
slurped,X,,
slurping,X,,
slurps,X,,
smash,X,,
smashed,X,,
smashes,X,,
smashing,X,,
smell,X,,
smelled,X,,
smelling,X,,
smells,X,,
smelt,X,,
smile,X,,
smiled,X,,
smiles,X,,
smiling,X,,
smite,,X,
smites,,X,
smiting,,X,
smitten,,X,
smoke,X,,
smoked,X,,
smokes,X,,
smoking,X,,
smooth,,X,
smoothed,,X,
smoothes,,X,
smoothing,,X,
smote,,X,
snap,X,,
snapped,X,,
snapping,X,,
snaps,X,,
snatch,X,,
snatched,X,,
snatches,X,,
snatching,X,,
sneak,X,,
sneaked,X,,
sneaking,X,,
sneaks,X,,
sneeze,X,,
sneezed,X,,
sneezes,X,,
sneezing,X,,
sniff,X,,
sniffed,X,,
sniffing,X,,
sniffs,X,,
snore,X,,
snored,X,,
snores,X,,
snoring,X,,
snow,X,,
snowed,X,,
snowing,X,,
snows,X,,
soak,X,,
soaked,X,,
soaking,X,,
soaks,X,,
soar,X,,
soared,X,,
soaring,X,,
soars,X,,
sob,X,,
sobbed,X,,
sobbing,X,,
sobs,X,,
socialize,,X,
socialized,,X,
socializes,,X,
socializing,,X,
soften,,X,
softened,,X,
softening,,X,
softens,,X,
sold,X,,
solve,,X,
solved,,X,
solves,,X,
solving,,X,
soothe,,X,
soothed,,X,
soothes,,X,
soothing,,X,
sort,,X,
sorted,,X,
sorting,,X,
sorts,,X,
sought,,X,
sound,X,,
sounded,X,,
sounding,X,,
sounds,X,,
sow,X,,
sowed,X,,
sowing,X,,
sown,X,,
sows,X,,
spank,X,,
spanked,X,,
spanking,X,,
spanks,X,,
spare,,X,
spared,,X,
spares,,X,
sparing,,X,
spark,,X,
sparked,,X,
sparking,,X,
sparkle,X,,
sparkled,X,,
sparkles,X,,
sparkling,X,,
sparks,,X,
spat,X,,
speak,X,,
speaking,X,,
speaks,X,,
spear,X,,
speared,X,,
spearing,X,,
spears,X,,
speculate,,X,
speculated,,X,
speculates,,X,
speculating,,X,
sped,X,,
speed,X,,
speeded,X,,
speeding,X,,
speeds,X,,
spell,,X,
spelled,X,,
spelling,,X,
spells,,X,
spelt,,X,
spend,X,,
spending,X,,
spends,X,,
spent,X,,
spill,X,,
spilled,X,,
spilling,X,,
spills,X,,
spilt,X,,
spin,X,,
spinning,X,,
spins,X,,
spit,X,,
spits,X,,
spitting,X,,
split,X,,
splits,X,,
splitting,X,,
spoil,X,,
spoiled,X,,
spoiling,X,,
spoils,X,,
spoke,X,,
spoken,X,,
sponsor,,X,
sponsored,,X,
sponsoring,,X,
sponsors,,X,
spot,X,,
spots,X,,
spotted,X,,
spotting,X,,
sprang,X,,
spray,X,,
sprayed,X,,
spraying,X,,
sprays,X,,
spreading,X,,
spreads,X,,
spring,X,,
springing,X,,
springs,X,,
sprout,X,,
sprouted,X,,
sprouting,X,,
sprouts,X,,
sprung,X,,
spun,X,,
squash,X,,
squashed,X,,
squashes,X,,
squashing,X,,
squat,X,,
squats,X,,
squatted,X,,
squatting,X,,
squeak,X,,
squeaked,X,,
squeaking,X,,
squeaks,X,,
squeal,X,,
squealed,X,,
squealing,X,,
squeals,X,,
squeeze,X,,
squeezed,X,,
squeezes,X,,
squeezing,X,,
squirm,X,,
squirmed,X,,
squirming,X,,
squirms,X,,
stab,X,,
stabbed,X,,
stabbing,X,,
stabs,X,,
stack,X,,
stacked,X,,
stacking,X,,
stacks,X,,
stage,,X,
staged,,X,
stages,,X,
staging,,X,
stain,X,,
stained,X,,
staining,X,,
stains,X,,
stammer,X,,
stammered,X,,
stammering,X,,
stammers,X,,
stamp,X,,
stamped,X,,
stamping,X,,
stamps,X,,
stand,X,,
standing,X,,
stands,X,,
stank,X,,
star,,X,
stare,X,,
stared,X,,
stares,X,,
staring,X,,
starred,,X,
starring,,X,
stars,,X,
start,X,,
started,X,,
starting,,X,
startle,,X,
startled,,X,
startles,,X,
startling,,X,
starts,,X,
starve,,X,
starved,,X,
starves,,X,
starving,,X,
state,,X,
stated,X,,
states,,X,
stating,,X,
stay,,X,
stayed,,X,
staying,,X,
stays,,X,
steal,X,,
stealing,X,,
steals,X,,
steam,X,,
steamed,X,,
steaming,X,,
steams,X,,
steer,X,,
steered,X,,
steering,X,,
steers,X,,
stem,,X,
stemmed,,X,
stemming,,X,
stems,,X,
step,X,,
stepped,X,,
stepping,X,,
steps,X,,
stick,X,,
sticking,X,,
sticks,X,,
stimulate,,X,
stimulated,,X,
stimulates,,X,
stimulating,,X,
sting,X,,
stings,X,,
stink,X,,
stinking,X,,
stinks,X,,
stir,X,,
stirred,X,,
stirring,X,,
stirs,X,,
stitch,X,,
stitched,X,,
stitches,X,,
stitching,X,,
stole,X,,
stolen,X,,
stone,X,,
stoned,X,,
stones,X,,
stoning,X,,
stood,X,,
stop,X,,
stopped,X,,
stopping,,X,
stops,,X,
store,,X,
stored,,X,
stores,,X,
storing,,X,
storm,X,,
stormed,X,,
storming,X,,
storms,X,,
strangle,X,,
strangled,X,,
strangles,X,,
strangling,X,,
strap,X,,
strapped,X,,
strapping,X,,
straps,X,,
stream,X,,
streamed,X,,
streaming,X,,
streams,X,,
strengthen,,X,
strengthened,,X,
strengthening,,X,
strengthens,,X,
stresses,,X,
stressing,,X,
stretch,X,,
stretched,X,,
stretches,X,,
stretching,X,,
stricken,X,,
stridden,X,,
stride,X,,
strides,X,,
striding,X,,
strike,X,,
strikes,X,,
striking,X,,
string,X,,
stringing,X,,
strings,X,,
strip,,X,
stripped,,X,
stripping,,X,
strips,,X,
strive,,X,
striven,,X,
strives,,X,
striving,,X,
strode,X,,
stroke,X,,
stroked,X,,
strokes,X,,
stroking,X,,
stroll,X,,
strolled,X,,
strolling,X,,
strolls,X,,
strove,,X,
struck,X,,
struggle,,,X
struggled,,,X
struggles,,,X
struggling,,,X
strung,X,,
stuck,X,,
studied,,X,
studies,,X,
study,,X,
studying,,X,
stuff,,X,
stuffed,,X,
stuffing,,X,
stuffs,,X,
stumble,X,,
stumbled,X,,
stumbles,X,,
stumbling,X,,
stun,,,X
stung,X,,
stunk,X,,
stunned,,,X
stunning,,,X
stuns,,,X
subject,,X,
subjected,,X,
subjecting,,X,
subjects,,X,
submit,X,,
submits,X,,
submitted,X,,
submitting,X,,
subscribe,,X,
subscribed,,X,
subscribes,,X,
subscribing,,X,
subtract,X,,
subtracted,X,,
subtracting,X,,
subtracts,X,,
succeed,,X,
succeeded,,X,
succeeding,,X,
succeeds,,X,
succumb,,X,
succumbed,,X,
succumbing,,X,
succumbs,,X,
suck,X,,
sucked,X,,
sucking,X,,
sucks,X,,
suffer,,,X
suffered,,,X
suffering,,,X
suffers,,,X
suggest,,X,
suggested,,X,
suggesting,,X,
suggests,,X,
suit,X,,
suited,X,,
suiting,X,,
suits,X,,
sum,X,,
summed,X,,
summing,X,,
sums,X,,
sung,X,,
sunk,X,,
supervise,,X,
supervised,,X,
supervises,,X,
supervising,,X,
supplied,,X,
supplies,,X,
supply,,X,
supplying,,X,
support,,X,
supported,,X,
supporting,,X,
supports,,X,
suppose,,,X
supposed,,,X
supposes,,,X
supposing,,,X
suppress,,X,
suppressed,,X,
suppresses,,X,
suppressing,,X,
surface,X,,
surfaced,X,,
surfaces,X,,
surfacing,X,,
surpass,,X,
surpassed,,X,
surpasses,,X,
surpassing,,X,
surprise,,X,
surprised,,X,
surprises,,X,
surprising,,X,
surrender,X,,
surrendered,X,,
surrendering,X,,
surrenders,X,,
surround,X,,
surrounded,X,,
surrounding,X,,
surrounds,X,,
survey,X,,
surveyed,X,,
surveying,X,,
surveys,X,,
survive,,X,
survived,,X,
survives,,X,
surviving,,X,
suspect,,,X
suspected,,,X
suspecting,,,X
suspects,,,X
suspend,,X,
suspended,,X,
suspending,,X,
suspends,,X,
sustain,,X,
sustained,,X,
sustaining,,X,
sustains,,X,
swallow,X,,
swallowed,X,,
swallowing,X,,
swallows,X,,
swam,X,,
swear,X,,
swearing,X,,
swears,X,,
sweat,X,,
sweated,X,,
sweating,X,,
sweats,X,,
sweep,X,,
sweeping,X,,
sweeps,X,,
swell,X,,
swelled,X,,
swelling,X,,
swept,X,,
swig,X,,
swigged,X,,
swigging,X,,
swigs,X,,
swim,X,,
swimming,X,,
swims,X,,
swing,X,,
swinging,X,,
swings,X,,
swipe,X,,
swiped,X,,
swipes,X,,
swiping,X,,
switch,,X,
switched,,X,
switches,,X,
switching,,X,
swollen,X,,
swore,X,,
sworn,X,,
swum,X,,
swung,X,,
tackle,X,,
tackled,X,,
tackles,X,,
tackling,X,,
tail,X,,
tailed,X,,
tailing,X,,
tailor,X,,
tailored,X,,
tailoring,X,,
tailors,X,,
tails,X,,
take,X,,
taken,X,,
takes,X,,
taking,X,,
talk,X,,
talked,X,,
talking,X,,
talks,X,,
tame,,X,
tamed,,X,
tames,,X,
taming,,X,
tamper,,X,
tampered,,X,
tampering,,X,
tampers,,X,
tap,X,,
tapped,X,,
tapping,X,,
taps,X,,
taste,X,,
tasted,X,,
tastes,X,,
tasting,X,,
taught,,X,
taunt,,X,
taunted,,X,
taunting,,X,
taunts,,X,
tax,X,,
taxed,X,,
taxes,X,,
taxing,X,,
teach,,X,
teaches,,X,
teaching,,X,
tear,X,,
tearing,X,,
tears,X,,
tease,,X,
teased,,X,
teases,,X,
teasing,,X,
telephone,X,,
telephoned,X,,
telephones,X,,
telephoning,X,,
tell,X,,
telling,X,,
tells,X,,
tempt,,X,
tempted,,X,
tempting,,X,
tempts,,X,
tend,,,X
tended,,X,
tending,,X,
tends,,X,
terrified,,,X
terrifies,,,X
terrify,,,X
terrifying,,,X
test,,X,
tested,,X,
testing,,X,
tests,,X,
thank,X,,
thanked,X,,
thanking,X,,
thanks,X,,
thaw,X,,
thawed,X,,
thawing,X,,
thaws,X,,
think,,,X
thinking,,,X
thinks,,,X
thought,,,X
threaten,,,X
threatening,,,X
threatens,,,X
threw,X,,
thrill,,,X
thrilled,,,X
thrilling,,,X
thrills,,,X
thrived,,X,
thrives,,X,
thriving,,X,
throw,X,,
throwing,X,,
thrown,X,,
throws,X,,
thrust,X,,
thrusting,X,,
thrusts,X,,
tick,X,,
ticked,X,,
ticking,X,,
tickle,X,,
tickled,X,,
tickles,X,,
tickling,X,,
ticks,X,,
tie,X,,
tied,X,,
ties,X,,
time,X,,
timed,X,,
times,X,,
timing,X,,
tip,,X,
tipped,,X,
tipping,,X,
tips,,X,
tire,X,,
tired,X,,
tires,X,,
tiring,X,,
told,X,,
tolerate,,,X
tolerated,,,X
tolerates,,,X
tolerating,,,X
took,X,,
tore,X,,
torn,X,,
tortured,,X,
tortures,,X,
torturing,,X,
toss,X,,
tossed,X,,
tosses,X,,
tossing,X,,
total,X,,
totalled,X,,
totalling,X,,
totals,X,,
touch,X,,
touched,X,,
touches,X,,
touching,X,,
tour,X,,
toured,X,,
touring,X,,
tours,X,,
tow,X,,
towed,X,,
towing,X,,
tows,X,,
trace,,X,
traced,,X,
traces,,X,
tracing,,X,
trade,,X,
traded,,X,
trades,,X,
trading,,X,
train,X,,
trained,X,,
training,X,,
trains,X,,
transcend,,X,
transcended,,X,
transcending,,X,
transcends,,X,
transfer,,X,
transferred,,X,
transferring,,X,
transfers,,X,
transform,,X,
transforming,,X,
transforms,,X,
translate,,X,
translated,,X,
translates,,X,
translating,,X,
transport,X,,
transported,X,,
transporting,X,,
transports,X,,
trap,,X,
trapped,,X,
trapping,,X,
traps,,X,
travel,X,,
traveled,X,,
traveling,X,,
travelled,X,,
travelling,X,,
travels,X,,
tread,X,,
treading,X,,
treads,X,,
treasure,,,X
treasured,,,X
treasures,,,X
treasuring,,,X
treat,,X,
treated,,X,
treating,,X,
treats,,X,
tremble,X,,
trembled,X,,
trembles,X,,
trembling,X,,
trick,,X,
tricked,,X,
tricking,,X,
tricks,,X,
tried,,X,
tries,,X,
trip,X,,
tripped,X,,
tripping,X,,
trips,X,,
trod,X,,
trodden,X,,
trot,X,,
trots,X,,
trotted,X,,
trotting,X,,
trouble,,,X
troubled,,,X
troubles,,,X
troubling,,,X
trust,,,X
trusted,,,X
trusting,,,X
trusts,,,X
try,,X,
trying,,X,
tug,X,,
tugged,X,,
tugging,X,,
tugs,X,,
tumble,X,,
tumbled,X,,
tumbles,X,,
tumbling,X,,
turn,X,,
turned,X,,
turning,X,,
turns,X,,
tutor,,X,
tutored,,X,
tutoring,,X,
tutors,,X,
twist,X,,
twisted,X,,
twisting,X,,
twists,X,,
tying,X,,
type,X,,
typed,X,,
types,X,,
typing,X,,
undergo,,X,
undergoes,,X,
undergoing,,X,
undergone,,X,
undermine,,X,
undermined,,X,
undermines,,X,
undermining,,X,
understand,,,X
understanding,,,X
understands,,,X
understood,,,X
undertake,,X,
undertakes,,X,
undertaking,,X,
undertook,,X,
underwent,,X,
undid,,X,
undo,,X,
undoing,,X,
undone,,X,
undress,X,,
undressed,X,,
undresses,X,,
undressing,X,,
unfasten,X,,
unfastened,X,,
unfastening,X,,
unfastens,X,,
unfold,X,,
unfolded,X,,
unfolding,X,,
unfolds,X,,
unite,,X,
united,,X,
unites,,X,
uniting,,X,
unleash,X,,
unleashed,X,,
unleashes,X,,
unleashing,X,,
unlock,X,,
unlocked,X,,
unlocking,X,,
unlocks,X,,
unpack,X,,
unpacked,X,,
unpacking,X,,
unpacks,X,,
untie,X,,
untied,X,,
unties,X,,
untying,X,,
unwaver,,X,
unwavered,,X,
unwavering,,X,
unwavers,,X,
upgrade,,X,
upgraded,,X,
upgrades,,X,
upgrading,,X,
upheld,,X,
uphold,,X,
upholding,,X,
upholds,,X,
uplift,,,X
uplifted,,,X
uplifting,,,X
uplifts,,,X
upsets,,,X
upsetting,,,X
urge,,,X
urged,,,X
urges,,,X
urging,,,X
urinate,X,,
urinated,X,,
urinates,X,,
urinating,X,,
use,X,,
used,X,,
uses,,X,
using,,X,
utilize,X,,
utilized,X,,
utilizes,X,,
utilizing,X,,
utter,X,,
uttered,X,,
uttering,X,,
utters,X,,
vacillate,,X,
vacillated,,X,
vacillates,,X,
vacillating,,X,
vacuum,X,,
vacuumed,X,,
vacuuming,X,,
vacuums,X,,
valued,,,X
values,,,X
valuing,,,X
vanish,X,,
vanished,X,,
vanishes,X,,
vanishing,X,,
varied,,X,
varies,,X,
vary,,X,
varying,,X,
vent,,X,
vented,,X,
venting,,X,
vents,,X,
venture,,X,
ventured,,X,
ventures,,X,
venturing,,X,
verified,X,,
verifies,X,,
verify,X,,
verifying,X,,
veto,X,,
vetoed,X,,
vetoes,X,,
vetoing,X,,
viewing,X,,
views,X,,
violate,,,X
violated,,,X
violates,,,X
violating,,,X
visit,,X,
visited,,X,
visiting,,X,
visits,,X,
visualize,,X,
visualized,,X,
visualizes,,X,
visualizing,,X,
voice,X,,
voiced,X,,
voices,X,,
voicing,X,,
volunteer,,X,
volunteering,,X,
volunteers,,X,
vomit,X,,
vomited,X,,
vomiting,X,,
vomits,X,,
vote,X,,
voted,X,,
votes,X,,
voting,X,,
vow,,X,
vowed,,X,
vowing,,X,
vows,,X,
wade,X,,
waded,X,,
wades,X,,
wading,X,,
wage,,X,
waged,,X,
wages,,X,
waging,,X,
wail,X,,
wailed,X,,
